danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,label,row_index,genre_phase
0.705,0.655,2.0,-5.185,1.0,0.202,0.378,1.36e-06,0.0676,0.466,75.067,4.0,337600.0,0,0,9549,3
0.836,0.743,10.0,-6.305,0.0,0.0656,0.0995,0.0,0.335,0.722,108.966,4.0,191822.0,1,0,9550,3
0.623,0.818,0.0,-3.623,1.0,0.529,0.143,0.0,0.232,0.729,130.655,5.0,182672.0,1,0,9551,3
0.836,0.743,10.0,-6.305,0.0,0.0656,0.0995,0.0,0.335,0.722,108.966,4.0,191822.0,1,0,9552,3
0.698,0.422,10.0,-4.74,1.0,0.0405,0.591,0.0,0.33,0.645,130.667,3.0,199746.0,0,0,9553,3
0.81,0.6,5.0,-10.664,1.0,0.0399,0.171,1.23e-05,0.255,0.951,124.133,4.0,224760.0,0,0,9554,3
0.724,0.646,11.0,-4.495,1.0,0.0658,0.0977,0.179,0.0647,0.824,143.674,4.0,290200.0,0,0,9555,3
0.748,0.788,2.0,-8.234,1.0,0.426,0.201,0.0,0.376,0.583,141.752,4.0,173384.0,1,0,9556,3
0.602,0.785,6.0,-4.355,0.0,0.232,0.143,0.0,0.103,0.582,95.038,4.0,232013.0,0,0,9557,3
0.699,0.529,2.0,-7.548,1.0,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,4.0,206166.0,0,1,9558,3
0.728,0.514,8.0,-6.499,0.0,0.284,0.162,0.0,0.049,0.871,170.055,4.0,181500.0,0,0,9559,3
0.714,0.826,7.0,-3.897,0.0,0.0385,0.318,1.63e-05,0.216,0.742,91.997,4.0,185053.0,0,0,9560,3
0.752,0.904,8.0,-2.846,1.0,0.0701,0.0206,0.0,0.0723,0.526,98.034,4.0,183786.0,0,0,9561,3
0.655,0.512,11.0,-7.429,0.0,0.188,0.0506,0.000177,0.318,0.539,160.101,4.0,215424.0,0,0,9562,3
0.569,0.919,11.0,-5.378,1.0,0.135,0.00089,9.44e-05,0.0524,0.256,95.073,4.0,147943.0,0,0,9563,3
0.721,0.769,7.0,-4.111,1.0,0.105,0.0922,0.0,0.0817,0.915,155.932,4.0,187107.0,0,0,9564,3
0.776,0.491,11.0,-12.042,1.0,0.04,0.000194,0.203,0.0558,0.879,143.477,4.0,299000.0,0,0,9565,3
0.252,0.535,2.0,-7.898,1.0,0.0387,0.659,2.58e-05,0.099,0.354,81.805,4.0,178226.0,0,0,9566,3
0.727,0.791,4.0,-4.47,1.0,0.13,0.444,0.0,0.131,0.711,74.994,4.0,182400.0,0,0,9567,3
0.716,0.934,3.0,-2.431,1.0,0.0448,0.0561,7.33e-06,0.147,0.749,99.983,4.0,204360.0,0,1,9568,3
0.891,0.748,1.0,-3.844,0.0,0.0976,0.186,2.06e-06,0.133,0.401,94.06,4.0,219866.0,0,0,9569,3
0.65,0.306,9.0,-9.443,1.0,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,4.0,180055.0,0,1,9570,3
0.714,0.72,2.0,-4.722,1.0,0.136,0.102,0.0,0.344,0.592,143.877,4.0,203333.0,0,1,9571,3
0.702,0.699,11.0,-3.499,1.0,0.0415,0.0123,0.0,0.0785,0.55,99.971,4.0,147000.0,0,0,9572,3
0.906,0.567,11.0,-7.628,0.0,0.113,0.0711,1.86e-06,0.0928,0.806,123.933,4.0,206250.0,0,0,9573,3
0.584,0.803,1.0,-4.953,1.0,0.273,0.0392,4.71e-05,0.0973,0.339,108.049,4.0,203546.0,0,0,9574,3
0.581,0.69,9.0,-9.456,1.0,0.0362,0.26,0.000425,0.954,0.321,88.09,4.0,187946.0,0,0,9575,3
0.877,0.477,9.0,-7.379,0.0,0.0589,0.307,0.0,0.0929,0.552,127.026,4.0,226742.0,1,0,9576,3
0.565,0.61,0.0,-13.236,1.0,0.0372,0.568,0.0,0.245,0.921,93.504,4.0,218066.0,0,0,9577,3
0.682,0.595,11.0,-9.378,0.0,0.0475,0.102,0.0,0.309,0.555,158.111,4.0,187819.0,0,0,9578,3
0.905,0.563,8.0,-6.135,1.0,0.102,0.0254,9.71e-06,0.113,0.324,106.998,4.0,173947.0,1,0,9579,3
0.733,0.783,9.0,-4.788,1.0,0.0386,0.156,0.0,0.286,0.634,93.018,4.0,223586.0,0,0,9580,3
0.741,0.787,5.0,-6.228,1.0,0.0525,0.217,0.0179,0.0835,0.771,91.993,4.0,255680.0,0,0,9581,3
0.81,0.447,9.0,-10.883,1.0,0.0672,0.43,3.42e-05,0.109,0.705,99.967,4.0,177998.0,0,0,9582,3
0.635,0.565,7.0,-5.223,1.0,0.0569,0.667,0.0,0.0569,0.923,146.095,3.0,198133.0,0,0,9583,3
0.633,0.532,1.0,-8.257,1.0,0.493,0.446,0.0,0.183,0.417,125.752,5.0,188387.0,1,0,9584,3
0.75,0.856,2.0,-5.802,1.0,0.0457,0.0778,3.65e-05,0.117,0.94,130.034,4.0,181028.0,1,0,9585,3
0.842,0.788,7.0,-4.599,1.0,0.102,0.167,4.08e-06,0.143,0.705,94.991,4.0,234794.0,0,0,9586,3
0.631,0.757,1.0,-5.989,0.0,0.422,0.532,0.0,0.0916,0.54,137.785,4.0,179879.0,0,0,9587,3
0.417,0.959,3.0,-5.853,0.0,0.154,0.0741,0.000243,0.764,0.522,82.771,4.0,193933.0,0,0,9588,3
0.721,0.769,7.0,-4.111,1.0,0.105,0.0922,0.0,0.0817,0.915,155.932,4.0,187107.0,0,0,9589,3
0.702,0.675,10.0,-5.352,0.0,0.351,0.363,0.0,0.359,0.626,83.515,4.0,335974.0,0,0,9590,3
0.696,0.617,2.0,-1.713,1.0,0.0286,0.196,0.0,0.0648,0.524,95.032,4.0,207200.0,0,0,9591,3
0.355,0.383,10.0,-8.556,1.0,0.105,0.471,0.00144,0.422,0.741,177.291,3.0,140080.0,0,0,9592,3
0.581,0.731,7.0,-5.189,1.0,0.0289,0.192,0.0,0.405,0.579,127.58,4.0,233533.0,0,0,9593,3
0.787,0.872,9.0,-2.117,1.0,0.143,0.0067,0.000193,0.136,0.696,92.025,4.0,194013.0,0,0,9594,3
0.635,0.731,10.0,-5.703,1.0,0.06,0.163,7.61e-06,0.0874,0.611,187.997,4.0,238346.0,0,0,9595,3
0.354,0.712,3.0,-6.109,0.0,0.0589,0.358,4.19e-05,0.274,0.238,93.345,4.0,368852.0,0,1,9596,3
0.794,0.884,1.0,-5.931,1.0,0.179,0.0634,0.0,0.319,0.716,93.064,4.0,222312.0,0,0,9597,3
0.782,0.39,8.0,-10.786,1.0,0.041,0.369,0.00031,0.0635,0.977,120.059,4.0,184693.0,0,0,9598,3
0.682,0.633,4.0,-6.213,1.0,0.239,0.307,0.0328,0.112,0.601,123.259,5.0,153946.0,1,1,9599,3
0.833,0.652,11.0,-6.942,1.0,0.0762,0.00161,0.0985,0.106,0.405,158.022,4.0,135053.0,1,0,9600,3
0.64,0.574,5.0,-8.951,0.0,0.091,0.138,0.00492,0.342,0.538,198.014,4.0,175215.0,0,0,9601,3
0.685,0.909,3.0,-4.034,0.0,0.0396,0.0471,0.0,0.35,0.922,95.004,4.0,248768.0,0,0,9602,3
0.777,0.553,4.0,-7.918,0.0,0.261,0.554,0.0742,0.0629,0.733,174.042,4.0,99713.0,1,0,9603,3
0.602,0.573,5.0,-7.388,1.0,0.0518,0.282,0.0,0.0854,0.319,174.048,4.0,215026.0,0,0,9604,3
0.859,0.639,2.0,-4.52,1.0,0.0636,0.0433,0.0,0.102,0.676,101.027,4.0,138400.0,0,0,9605,3
0.609,0.63,4.0,-10.791,0.0,0.175,0.762,0.0,0.0495,0.934,174.253,4.0,110093.0,0,0,9606,3
0.713,0.952,7.0,-2.959,1.0,0.108,0.0203,2.51e-06,0.117,0.571,105.981,4.0,195040.0,0,0,9607,3
0.746,0.794,5.0,-4.86,0.0,0.0928,0.314,0.000332,0.165,0.68,105.042,4.0,266746.0,0,0,9608,3
0.675,0.888,11.0,-3.343,1.0,0.035,0.12,0.00967,0.337,0.526,119.018,4.0,219831.0,0,1,9609,3
0.951,0.6,0.0,-4.675,0.0,0.0685,0.106,0.0,0.0712,0.822,125.04,4.0,218573.0,0,1,9610,3
